center,left,right,steering,throttle,brake,speed
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_08_418.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_08_418.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_08_418.jpg,-0.7,0.0,0.0,6.37e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_08_510.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_08_510.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_08_510.jpg,-0.9500002000000001,0.0,0.0,2.12e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_08_604.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_08_604.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_08_604.jpg,-1.0,0.0,0.0,1.77e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_08_706.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_08_706.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_08_706.jpg,-1.0,0.0,0.0,1.64e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_08_792.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_08_792.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_08_792.jpg,-1.0,0.0,0.0,1.62e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_08_888.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_08_888.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_08_888.jpg,-1.0,0.0,0.0,9.19e-07
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_08_978.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_08_978.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_08_978.jpg,-1.0,0.0,0.0,9.140000000000001e-07
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_09_076.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_09_076.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_09_076.jpg,-1.0,0.0,0.0,3.07e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_09_171.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_09_171.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_09_171.jpg,-1.0,0.2782913,0.0,0.3425964
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_09_304.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_09_304.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_09_304.jpg,-0.5962061,0.0,0.0,0.32196040000000004
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_09_459.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_09_459.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_09_459.jpg,-0.12780170000000002,0.0,0.0,0.3171962
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_09_546.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_09_546.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_09_546.jpg,0.0,0.0,0.0,0.3134995
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_09_638.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_09_638.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_09_638.jpg,0.0,0.0,0.0,0.31068409999999996
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_09_754.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_09_754.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_09_754.jpg,0.0,0.29117009999999993,0.0,0.6413043
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_09_852.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_09_852.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_09_852.jpg,0.0,0.5761876,0.0,1.3130540000000002
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_09_952.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_09_952.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_09_952.jpg,0.0,0.8627632,0.0,2.3403970000000003
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_10_037.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_10_037.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_10_037.jpg,0.0,0.5327673,0.0,2.993244
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_10_119.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_10_119.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_10_119.jpg,0.0,0.2840685,0.0,3.226943
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_10_219.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_10_219.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_10_219.jpg,-0.25,0.0,0.0,3.209382
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_10_314.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_10_314.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_10_314.jpg,-0.5000001000000001,0.0,0.0,3.158691
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_10_420.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_10_420.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_10_420.jpg,-0.7500001999999999,0.0,0.0,3.097296
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_10_509.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_10_509.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_10_509.jpg,-1.0,0.0,0.0,3.0206
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_10_606.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_10_606.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_10_606.jpg,-1.0,0.0,0.0,2.965862
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_10_703.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_10_703.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_10_703.jpg,-0.7037739000000001,0.0,0.0,2.9479900000000003
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_10_797.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_10_797.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_10_797.jpg,-0.42314540000000006,0.0,0.0,2.931036
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_10_895.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_10_895.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_10_895.jpg,-0.132022,0.0,0.0,2.898732
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_10_991.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_10_991.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_10_991.jpg,-0.3820221,0.0,0.0,2.860399
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_11_081.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_11_081.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_11_081.jpg,-0.6320220999999999,0.0,0.0,2.810409
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_11_176.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_11_176.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_11_176.jpg,-0.40601679999999996,0.0,0.0,2.793185
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_11_269.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_11_269.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_11_269.jpg,-0.12981030000000002,0.0,0.0,2.763183
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_11_369.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_11_369.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_11_369.jpg,0.0,0.0,0.0,2.733946
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_11_462.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_11_462.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_11_462.jpg,0.0,0.0,0.0,2.706516
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_11_554.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_11_554.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_11_554.jpg,0.0,0.0,0.0,2.684773
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_11_651.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_11_651.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_11_651.jpg,-0.25,0.0,0.0,2.651958
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_11_748.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_11_748.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_11_748.jpg,-0.5000001000000001,0.0,0.0,2.610344
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_11_838.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_11_838.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_11_838.jpg,-0.3149141,0.0,0.0,2.592582
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_11_933.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_11_933.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_11_933.jpg,-0.03060431,0.0,0.0,2.561482
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_12_031.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_12_031.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_12_031.jpg,0.0,0.0,0.0,2.5356650000000003
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_12_122.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_12_122.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_12_122.jpg,0.0,0.0,0.0,2.5102279999999997
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_12_216.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_12_216.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_12_216.jpg,0.0,0.2856083,0.0,2.753428
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_12_315.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_12_315.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_12_315.jpg,0.0,0.0,0.0,2.7405939999999998
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_12_410.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_12_410.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_12_410.jpg,0.0,0.0,0.0,2.713102
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_12_502.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_12_502.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_12_502.jpg,0.0,0.0,0.0,2.685885
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_12_595.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_12_595.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_12_595.jpg,0.0,0.0,0.0,2.664308
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_12_688.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_12_688.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_12_688.jpg,0.0,0.0,0.0,2.637581
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_12_784.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_12_784.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_12_784.jpg,0.0,0.0,0.0,2.611121
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_12_879.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_12_879.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_12_879.jpg,0.0,0.28726240000000003,0.0,2.855941
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_12_981.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_12_981.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_12_981.jpg,0.0,0.0,0.0,2.835425
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_13_073.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_13_073.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_13_073.jpg,-0.2,0.0,0.0,2.808562
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_13_181.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_13_181.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_13_181.jpg,-0.45,0.0,0.0,2.766147
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_13_262.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_13_262.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_13_262.jpg,-0.7,0.0,0.0,2.714769
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_13_354.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_13_354.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_13_354.jpg,-0.9000002,0.0,0.0,2.664809
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_13_453.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_13_453.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_13_453.jpg,-1.0,0.0,0.0,2.605041
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_13_560.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_13_560.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_13_560.jpg,-1.0,0.0,0.0,2.5533259999999998
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_13_659.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_13_659.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_13_659.jpg,-1.0,0.0,0.0,2.5196509999999996
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_13_759.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_13_759.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_13_759.jpg,-1.0,0.0,0.0,2.478078
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_13_859.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_13_859.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_13_859.jpg,-1.0,0.0,0.0,2.428941
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_13_954.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_13_954.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_13_954.jpg,-0.7160532,0.0,0.0,2.4189979999999998
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_14_056.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_14_056.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_14_056.jpg,-0.4135195,0.0,0.0,2.400276
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_14_160.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_14_160.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_14_160.jpg,-0.10941769999999999,0.0,0.0,2.373208
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_14_254.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_14_254.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_14_254.jpg,0.0,0.0,0.0,2.348492
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_14_347.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_14_347.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_14_347.jpg,0.25,0.0,0.0,2.3196830000000004
